country,date,cumulative,new,relative
Belgium,1/22/20,0,0,0
Belgium,1/23/20,0,0,0
Belgium,1/24/20,0,0,0
Belgium,1/25/20,0,0,0
Belgium,1/26/20,0,0,0
Belgium,1/27/20,0,0,0
Belgium,1/28/20,0,0,0
Belgium,1/29/20,0,0,0
Belgium,1/30/20,0,0,0
Belgium,1/31/20,0,0,0
Belgium,2/1/20,0,0,0
Belgium,2/2/20,0,0,0
Belgium,2/3/20,0,0,0
Belgium,2/4/20,1,1,0
Belgium,2/5/20,1,0,0
Belgium,2/6/20,1,0,0
Belgium,2/7/20,1,0,0
Belgium,2/8/20,1,0,0
Belgium,2/9/20,1,0,0
Belgium,2/10/20,1,0,0
Belgium,2/11/20,1,0,0
Belgium,2/12/20,1,0,0
Belgium,2/13/20,1,0,0
Belgium,2/14/20,1,0,0
Belgium,2/15/20,1,0,0
Belgium,2/16/20,1,0,0
Belgium,2/17/20,1,0,0
Belgium,2/18/20,1,0,0
Belgium,2/19/20,1,0,0
Belgium,2/20/20,1,0,0
Belgium,2/21/20,1,0,0
Belgium,2/22/20,1,0,0
Belgium,2/23/20,1,0,0
Belgium,2/24/20,1,0,0
Belgium,2/25/20,1,0,0
Belgium,2/26/20,1,0,0
Belgium,2/27/20,1,0,0
Belgium,2/28/20,1,0,0
Belgium,2/29/20,1,0,0
Belgium,3/1/20,2,1,0
Belgium,3/2/20,8,6,0
Belgium,3/3/20,13,5,0
Belgium,3/4/20,23,10,0
Belgium,3/5/20,50,27,0
Belgium,3/6/20,109,59,0
Belgium,3/7/20,169,60,0
Belgium,3/8/20,200,31,1
Belgium,3/9/20,239,39,1
Belgium,3/10/20,267,28,2
Belgium,3/11/20,314,47,2
Belgium,3/12/20,314,0,2
Belgium,3/13/20,559,245,2
Belgium,3/14/20,689,130,3
Belgium,3/15/20,886,197,4
Belgium,3/16/20,1058,172,5
Belgium,3/17/20,1243,185,7
Belgium,3/18/20,1486,243,8
Belgium,3/19/20,1795,309,10
Belgium,3/20/20,2257,462,12
Belgium,3/21/20,2815,558,14
Belgium,3/22/20,3401,586,18
Belgium,3/23/20,3743,342,21
Belgium,3/24/20,4269,526,23
Belgium,3/25/20,4937,668,26
Belgium,3/26/20,6235,1298,30
Belgium,3/27/20,7284,1049,38
Belgium,3/28/20,9134,1850,43
Belgium,3/29/20,10836,1702,55
Belgium,3/30/20,11899,1063,64
Belgium,3/31/20,12775,876,71
Belgium,4/1/20,13964,1189,74
Belgium,4/2/20,15348,1384,78
Belgium,4/3/20,16770,1422,79
Belgium,4/4/20,18431,1661,82
Belgium,4/5/20,19691,1260,80
Belgium,4/6/20,20814,1123,77
Belgium,4/7/20,22194,1380,77
Belgium,4/8/20,23403,1209,82
Belgium,4/9/20,24983,1580,82
Belgium,4/10/20,26667,1684,83
Belgium,4/11/20,28018,1351,86
Belgium,4/12/20,29647,1629,83
Belgium,4/13/20,30589,942,86
Belgium,4/14/20,31119,530,85
Belgium,4/15/20,33573,2454,77
Belgium,4/16/20,34809,1236,88
Belgium,4/17/20,36138,1329,85
Belgium,4/18/20,37183,1045,82
Belgium,4/19/20,38496,1313,79
Belgium,4/20/20,39983,1487,77
Belgium,4/21/20,40956,973,81
Belgium,4/22/20,41889,933,85
Belgium,4/23/20,42797,908,72
Belgium,4/24/20,44293,1496,69
Belgium,4/25/20,45325,1032,71
Belgium,4/26/20,46134,809,70
Belgium,4/27/20,46687,553,66
Belgium,4/28/20,47334,647,58
Belgium,4/29/20,47859,525,55
Belgium,4/30/20,48519,660,51
Belgium,5/1/20,49032,513,49
Belgium,5/2/20,49517,485,41
Belgium,5/3/20,49906,389,36
Belgium,5/4/20,50267,361,32
Belgium,5/5/20,50509,242,31
Belgium,5/6/20,50781,272,27
Belgium,5/7/20,51420,639,25
Belgium,5/8/20,52011,591,25
Belgium,5/9/20,52596,585,25
Belgium,5/10/20,53081,485,26
Belgium,5/11/20,53449,368,27
Belgium,5/12/20,53779,330,27
Belgium,5/13/20,53981,202,28
Belgium,5/14/20,54288,307,27
Belgium,5/15/20,54644,356,24
Belgium,5/16/20,54989,345,22
Belgium,5/17/20,55280,291,20
Belgium,5/18/20,55559,279,19
Belgium,5/19/20,55791,232,18
Belgium,5/20/20,55983,192,17
Belgium,5/21/20,56235,252,17
Belgium,5/22/20,56511,276,16
Belgium,5/23/20,56810,299,16
Belgium,5/24/20,57092,282,15
Belgium,5/25/20,57342,250,15
Belgium,5/26/20,57455,113,15
Belgium,5/27/20,57592,137,14
Belgium,5/28/20,57849,257,14
Belgium,5/29/20,58061,212,14
Belgium,5/30/20,58186,125,13
Belgium,5/31/20,58381,195,11
Belgium,6/1/20,58517,136,11
Belgium,6/2/20,58615,98,10
Belgium,6/3/20,58685,70,10
Belgium,6/4/20,58767,82,9
Belgium,6/5/20,58907,140,7
Belgium,6/6/20,59072,165,7
Belgium,6/7/20,59226,154,7
Belgium,6/8/20,59348,122,7
Belgium,6/9/20,59437,89,7
Belgium,6/10/20,59569,132,7
Belgium,6/11/20,59711,142,7
Belgium,6/12/20,59819,108,8
Belgium,6/13/20,59918,99,7
Belgium,6/14/20,60029,111,7
Belgium,6/15/20,60100,71,6
Belgium,6/16/20,60155,55,6
Belgium,6/17/20,60244,89,6
Belgium,6/18/20,60348,104,5
Belgium,6/19/20,60476,128,5
Belgium,6/20/20,60550,74,5
Belgium,6/21/20,60550,0,5
Belgium,6/22/20,60550,0,4
Belgium,6/23/20,60810,260,3
Belgium,6/24/20,60898,88,5
Belgium,6/25/20,61007,109,5
Belgium,6/26/20,61106,99,5
Belgium,6/27/20,61209,103,5
Belgium,6/28/20,61295,86,5
Belgium,6/29/20,61361,66,6
Belgium,6/30/20,61427,66,7
Belgium,7/1/20,61509,82,5
Belgium,7/2/20,61598,89,5
Belgium,7/3/20,61727,129,5
Belgium,7/4/20,61838,111,5
Belgium,7/5/20,62016,178,5
Belgium,7/6/20,62058,42,6
Belgium,7/7/20,62058,0,6
Belgium,7/8/20,62123,65,5
Belgium,7/9/20,62210,87,5
Belgium,7/10/20,62357,147,5
Belgium,7/11/20,62469,112,5
Belgium,7/12/20,62707,238,5
Belgium,7/13/20,62707,0,6
Belgium,7/14/20,62781,74,5
Belgium,7/15/20,62872,91,6
Belgium,7/16/20,63238,366,6
Belgium,7/17/20,63499,261,8
Belgium,7/18/20,63706,207,9
Belgium,7/19/20,63706,0,10
Belgium,7/20/20,64094,388,8
Belgium,7/21/20,64258,164,12
Belgium,7/22/20,64627,369,12
Belgium,7/23/20,64847,220,15
Belgium,7/24/20,65199,352,14
Belgium,7/25/20,65727,528,14
Belgium,7/26/20,66026,299,17
Belgium,7/27/20,66428,402,20
Belgium,7/28/20,66662,234,20
Belgium,7/29/20,67335,673,20
Belgium,7/30/20,68006,671,23
Belgium,7/31/20,68751,745,27
Belgium,8/1/20,69402,651,30
Belgium,8/2/20,69849,447,32
Belgium,8/3/20,70314,465,33
Belgium,8/4/20,70648,334,33
Belgium,8/5/20,71158,510,34
Belgium,8/6/20,72016,858,33
Belgium,8/7/20,72784,768,34
Belgium,8/8/20,73401,617,35
Belgium,8/9/20,74152,751,34
Belgium,8/10/20,74620,468,37
Belgium,8/11/20,75008,388,37
Belgium,8/12/20,75647,639,37
Belgium,8/13/20,76191,544,39
Belgium,8/14/20,77113,922,36
Belgium,8/15/20,77869,756,37
Belgium,8/16/20,78323,454,38
Belgium,8/17/20,78534,211,36
Belgium,8/18/20,78897,363,34
Belgium,8/19/20,79479,582,33
Belgium,8/20/20,80178,699,33
Belgium,8/21/20,80894,716,34
Belgium,8/22/20,81468,574,32
Belgium,8/23/20,81936,468,31
Belgium,8/24/20,82092,156,31
Belgium,8/25/20,82447,355,30
Belgium,8/26/20,83030,583,30
Belgium,8/27/20,83500,470,30
Belgium,8/28/20,83952,452,28
Belgium,8/29/20,84599,647,26
Belgium,8/30/20,85042,443,27
Belgium,8/31/20,85236,194,27
Belgium,9/1/20,85487,251,27
Belgium,9/2/20,85911,424,26
Belgium,9/3/20,86544,633,25
Belgium,9/4/20,87174,630,26
Belgium,9/5/20,87825,651,28
Belgium,9/6/20,88367,542,28
Belgium,9/7/20,88769,402,28
Belgium,9/8/20,89141,372,30
Belgium,9/9/20,89691,550,31
Belgium,9/10/20,90568,877,32
Belgium,9/11/20,91537,969,35
Belgium,9/12/20,92478,941,37
Belgium,9/13/20,93455,977,40
Belgium,9/14/20,94306,851,44
Belgium,9/15/20,94795,489,48
Belgium,9/16/20,95948,1153,49
Belgium,9/17/20,97976,2028,54
Belgium,9/18/20,99649,1673,64
Belgium,9/19/20,100748,1099,70
Belgium,9/20/20,102295,1547,72
Belgium,9/21/20,103392,1097,76
Belgium,9/22/20,105226,1834,79
Belgium,9/23/20,106887,1661,90
